"HostName","Location"
"CBTSTRAC92","HUAWEI-001-SOL5"
"CBDRCRAC01","HUAWEI-001-SOL5"
"CBDRCRAC02","HUAWEI-001-SOL5"
"BTDRCMGT01","HUAWEI-001-SOL5"
"EFDRCESX01","HUAWEI-001-SOL5"
"FBDRCVM42","HUAWEI-001-SOL5"
"CSDRCMGT01","HUAWEI-001-SOL5"
"SIMDRCESX01","HUAWEI-001-SOL5"
"SIMDRCESX02","HUAWEI-001-SOL5"
"FBDRCESX20","HUAWEI-001-SOL5"
"FBDRCESX12","HUAWEI-001-SOL5"
"FBDRCESX19","HUAWEI-001-SOL5"
"FBDRCESX13","HUAWEI-001-SOL5"
"FBDRCESX17","HUAWEI-001-SOL5"
"FBDRCESX15","HUAWEI-001-SOL5"
"FBDRCESX14","HUAWEI-001-SOL5"
"FBDRCESX18","HUAWEI-001-SOL5"
"FBDRCESX16","HUAWEI-001-SOL5"
"FBDRCESX21","HUAWEI-001-SOL5"
"FBDRCESX54","HUAWEI-001-SOL5"
"FBDRCESX55","HUAWEI-001-SOL5"
"FBDRCESX56","HUAWEI-001-SOL5"
"FBDRCESX57","HUAWEI-001-SOL5"
"FBDRCVM33","HUAWEI-001-SOL5"
"FBDRCVM30","HUAWEI-001-SOL5"
"FBDRCVM34","HUAWEI-001-SOL5"
"FBDRCVM31","HUAWEI-001-SOL5"
"FBDRCVM32","HUAWEI-001-SOL5"
"FBDRCVM46","HUAWEI-001-SOL5"
"FBDRCVM45","HUAWEI-001-SOL5"
"FBDRCVM48","HUAWEI-001-SOL5"
"FBDRCVM47","HUAWEI-001-SOL5"
"FBDRCVM39","HUAWEI-001-SOL5"
"FBDRCVM35","HUAWEI-001-SOL5"
"FBDRCVM38","HUAWEI-001-SOL5"
"FBDRCVM27","HUAWEI-001-SOL5"
"FBDRCVM40","HUAWEI-001-SOL5"
"FBDRCVM41","HUAWEI-001-SOL5"
"FBDRCVM26","HUAWEI-001-SOL5"
"FBDRCVM28","HUAWEI-001-SOL5"
"FBDRCVM29","HUAWEI-001-SOL5"
"FBDRCVM25","HUAWEI-001-SOL5"
"FBDRCESX48","HUAWEI-001-SOL5"
"FBDRCESX37","HUAWEI-001-SOL5"
"FBDRCESX25","HUAWEI-001-SOL5"
"FBDRCESX24","HUAWEI-001-SOL5"
"FBDRCESX36","HUAWEI-001-SOL5"
"FBDRCESX52","HUAWEI-001-SOL5"
"FBDRCESX22","HUAWEI-001-SOL5"
