"Lokasyon","Kabin_Adi","Host_Name","Host_Group","Protocol","IQN_WWN"
"ISTANBUL","PURE_005","PURE-AO37-07B:FEPRDVM07","PURE-AO37-07B:HG-FEPRDVM-UNIX","FC","51402EC001CB3B48;51402EC001CB3B5A"
"ISTANBUL","PURE_005","PURE-AO37-07B:FEPRDVM08","PURE-AO37-07B:HG-FEPRDVM-UNIX","FC","51402EC001CB3B72;51402EC001CB3CC2"
"ISTANBUL","PURE_005","PURE-AO37-07B:ELKPRDDAT08","None","FC","100000620B4373D5;100000620B4373F6"
"ISTANBUL","PURE_005","PURE-AO37-07B:ELKPRDDAT07","None","FC","100000620B435A66;100000620B435A81"
"ISTANBUL","PURE_005","PURE-AO37-07B:ALOPRDKFK14","None","FC","10009440C9D08227;10009440C9D0822E"
"ISTANBUL","PURE_005","PURE-AO37-07B:ALOPRDKFK15","None","FC","10009440C9D0C21F;10009440C9D0C225"
"ISTANBUL","PURE_005","PURE-AO37-07B:ALOPRDKFK11","None","FC","51402EC015522728;51402EC01552272A"
"ISTANBUL","PURE_005","PURE-AO37-07B:ELKPRDDAT04","None","FC","51402EC012CB15FE;51402EC012CB1DCE"
"ISTANBUL","PURE_005","PURE-AO37-07B:STOPRDAPP06","None","FC","100000620B42465A;100000620B42465B;100000620B42466C;100000620B42466D"
"ISTANBUL","PURE_005","PURE-AO37-07B:ALOPRDKFK17","None","FC","100000620B423C51;100000620B423C5B"
"ISTANBUL","PURE_005","PURE-AO37-07B:PSPRDESX07","PURE-AO37-07B:PSPRDESX","FC","10009440C9D03706;10009440C9D03707;10009440C9D08C2A;10009440C9D08C2B"
"ISTANBUL","PURE_005","PURE-AO37-07B:PSPRDESX08","PURE-AO37-07B:PSPRDESX","FC","10009440C9D01B25;10009440C9D04749"
"ISTANBUL","PURE_005","PURE-AO37-07B:PSPRDESX09","PURE-AO37-07B:PSPRDESX","FC","10009440C9D00B2A;10009440C9D027AE"
"ISTANBUL","PURE_005","PURE-AO37-07B:PSPRDESX20","PURE-AO37-07B:PSPRDESX","FC","10009440C9D0BEE1;10009440C9D4813F"
"ISTANBUL","PURE_005","PURE-AO37-07B:PSPRDESX21","PURE-AO37-07B:PSPRDESX","FC","10009440C9D480F9;10009440C9D48142"
"ISTANBUL","PURE_005","PURE-AO37-07B:PSPRDESX22","PURE-AO37-07B:PSPRDESX","FC","10009440C9D48112;10009440C9D481A8"
"ISTANBUL","PURE_005","PURE-AO37-07B:PGMPRDRAC01","PURE-AO37-07B:PGMPRDRAC0102","FC","51402EC001CA6ED8;51402EC001CA6EDA;51402EC001CA6EDC;51402EC001CA6EDE"
"ISTANBUL","PURE_005","PURE-AO37-07B:PGMPRDRAC02","PURE-AO37-07B:PGMPRDRAC0102","FC","51402EC001CA790C;51402EC001CA790E"
