"Lokasyon","Fabric","SwitchName","PortIndex","Slot","Port","Speed","State","Role","PortWWN","Alias","EncOut","CRC","DiscC3","DiscC3Level","SFP"
"Istanbul","A","AI18FC187","335","6","47","32G","Online","Host","10:00:94:40:c9:cf:31:30","Emulex PPN-10:00:94:40:c9:cf:31:30",,,"0","",""
"Istanbul","A","AI18FC187","384","9","0","32G","Online","Host","10:00:00:62:0b:43:64:45","Emulex PPN-10:00:00:62:0B:43:64:45",,,"0","",""
"Istanbul","A","AI18FC187","385","9","1","32G","Online","Host","10:00:00:62:0b:43:56:81","Emulex PPN-10:00:00:62:0b:43:56:81",,,"0","",""
"Istanbul","A","AI18FC187","386","9","2","32G","Online","Host","29:a1:a8:d4:e0:5d:d4:b7","",,,"0","",""
"Istanbul","A","AI18FC187","387","9","3","32G","Online","Host","10:00:94:40:c9:d4:27:75","Emulex PPN-10:00:94:40:c9:d4:27:75",,,"0","",""
"Istanbul","A","AI18FC187","388","9","4","32G","Online","Host","29:00:cc:bc:e3:01:6e:38","",,,"0","",""
"Istanbul","A","AI18FC187","389","9","5","32G","Online","Host","10:00:94:40:c9:d4:e7:84","Emulex PPN-10:00:94:40:c9:d4:e7:84",,,"0","",""
"Istanbul","A","AI18FC187","390","9","6","32G","Online","Host","10:00:00:62:0b:43:5a:81","0",,,"63","warning",""
"Istanbul","A","AI18FC187","391","9","7","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","392","9","8","64G","Online","Host","10:00:5c:ed:8c:55:89:f1","Emulex PPN-10:00:5c:ed:8c:55:89:f1",,,"0","",""
"Istanbul","A","AI18FC187","393","9","9","64G","Online","Host","10:00:00:62:0b:42:46:5a","Emulex PPN-10:00:00:62:0B:42:46:5A",,,"0","",""
"Istanbul","A","AI18FC187","394","9","10","32G","Online","Host","10:00:94:40:c9:d0:96:51","Emulex PPN-10:00:94:40:C9:D0:96:51",,,"0","",""
"Istanbul","A","AI18FC187","395","9","11","32G","Online","Host","28:22:cc:bc:e3:01:6d:fe","",,,"0","",""
"Istanbul","A","AI18FC187","396","9","12","32G","Online","Host","10:00:94:40:c9:d4:a7:36","Emulex PPN-10:00:94:40:c9:d4:a7:36",,,"0","",""
